,TT,FF,SS
1,3.42E-09,2.28E-09,5.79E-09
2,3.42E-09,1.67E-09,5.79E-09
3,3.42E-09,1.44E-09,5.79E-09
4,3.13E-09,1.30E-09,5.29E-09
5,2.85E-09,1.22E-09,4.86E-09
6,2.61E-09,1.16E-09,4.44E-09
7,2.52E-09,1.12E-09,4.27E-09
8,2.41E-09,1.07E-09,4.10E-09
9,2.32E-09,1.05E-09,3.96E-09
10,2.26E-09,1.03E-09,3.85E-09
11,2.21E-09,1.01E-09,3.77E-09
12,2.16E-09,9.89E-10,3.69E-09
13,2.13E-09,9.77E-10,3.63E-09
14,2.10E-09,9.61E-10,3.56E-09
15,2.07E-09,9.49E-10,3.52E-09
16,2.04E-09,9.42E-10,3.47E-09
17,2.01E-09,9.28E-10,3.43E-09
18,1.99E-09,9.23E-10,3.39E-09
19,1.97E-09,9.21E-10,3.36E-09
20,1.95E-09,9.07E-10,3.33E-09
21,1.94E-09,8.96E-10,3.30E-09
22,1.92E-09,8.89E-10,3.27E-09
23,1.90E-09,8.89E-10,3.24E-09
24,1.89E-09,8.77E-10,3.22E-09
25,1.89E-09,8.68E-10,3.22E-09
26,1.87E-09,8.73E-10,3.18E-09
27,1.86E-09,8.64E-10,3.16E-09
28,1.85E-09,8.62E-10,3.15E-09
29,1.84E-09,8.56E-10,3.13E-09
30,1.83E-09,8.47E-10,3.12E-09
31,1.82E-09,8.53E-10,3.09E-09
32,1.81E-09,8.40E-10,3.09E-09
33,1.81E-09,8.38E-10,3.08E-09
34,1.80E-09,8.37E-10,3.06E-09
35,1.79E-09,8.36E-10,3.06E-09
36,1.78E-09,8.26E-10,3.04E-09
37,1.77E-09,8.30E-10,3.03E-09
38,1.77E-09,8.31E-10,3.02E-09
39,1.76E-09,8.27E-10,3.01E-09
40,1.76E-09,8.21E-10,2.99E-09
41,1.75E-09,8.25E-10,2.99E-09
42,1.75E-09,8.15E-10,2.98E-09
43,1.74E-09,8.16E-10,2.97E-09
44,1.74E-09,8.14E-10,2.96E-09
45,1.73E-09,8.07E-10,2.95E-09
46,1.72E-09,8.10E-10,2.94E-09
47,1.72E-09,8.09E-10,2.94E-09
48,1.72E-09,8.03E-10,2.93E-09
49,1.71E-09,8.03E-10,2.92E-09
50,1.71E-09,7.96E-10,2.91E-09
51,1.71E-09,8.00E-10,2.91E-09
52,1.70E-09,7.93E-10,2.90E-09
53,1.70E-09,7.98E-10,2.89E-09
54,1.69E-09,7.95E-10,2.89E-09
55,1.69E-09,7.89E-10,2.87E-09
56,1.69E-09,7.94E-10,2.86E-09
57,1.69E-09,7.85E-10,2.87E-09
58,1.69E-09,7.88E-10,2.87E-09
59,1.68E-09,7.91E-10,2.86E-09
60,1.68E-09,7.86E-10,2.85E-09
61,1.68E-09,7.81E-10,2.85E-09
62,1.67E-09,7.85E-10,2.84E-09
63,1.67E-09,7.77E-10,2.83E-09
64,1.66E-09,7.86E-10,2.83E-09
65,1.66E-09,7.73E-10,2.83E-09
66,1.66E-09,7.81E-10,2.82E-09
67,1.65E-09,7.81E-10,2.83E-09
68,1.65E-09,7.79E-10,2.81E-09
69,1.65E-09,7.74E-10,2.80E-09
70,1.64E-09,7.79E-10,2.79E-09
71,1.64E-09,7.77E-10,2.79E-09
72,1.64E-09,7.74E-10,2.79E-09
73,1.63E-09,7.77E-10,2.78E-09
74,1.63E-09,7.74E-10,2.77E-09
75,1.63E-09,7.69E-10,2.77E-09
76,1.63E-09,7.66E-10,2.77E-09
77,1.63E-09,7.71E-10,2.76E-09
78,1.62E-09,7.70E-10,2.76E-09
79,1.61E-09,7.68E-10,2.75E-09
80,1.62E-09,7.67E-10,2.76E-09
81,1.62E-09,7.68E-10,2.76E-09
82,1.62E-09,7.65E-10,2.75E-09
83,1.62E-09,7.64E-10,2.75E-09
84,1.62E-09,7.66E-10,2.74E-09
85,1.62E-09,7.66E-10,2.75E-09
86,1.60E-09,7.65E-10,2.73E-09
87,1.61E-09,7.62E-10,2.73E-09
88,1.60E-09,7.62E-10,2.74E-09
89,1.61E-09,7.62E-10,2.74E-09
90,1.61E-09,7.61E-10,2.73E-09
91,1.61E-09,7.61E-10,2.73E-09
92,1.60E-09,7.61E-10,2.72E-09
93,1.61E-09,7.54E-10,2.73E-09
94,1.61E-09,7.59E-10,2.72E-09
95,1.60E-09,7.54E-10,2.72E-09
96,1.60E-09,7.55E-10,2.72E-09
97,1.59E-09,7.57E-10,2.71E-09
98,1.59E-09,7.57E-10,2.71E-09
99,1.59E-09,7.54E-10,2.70E-09
100,1.60E-09,7.54E-10,2.71E-09
101,1.60E-09,7.55E-10,2.71E-09
102,1.59E-09,7.53E-10,2.71E-09
103,1.58E-09,7.51E-10,2.71E-09
104,1.59E-09,7.53E-10,2.69E-09
105,1.59E-09,7.52E-10,2.71E-09
106,1.58E-09,7.51E-10,2.69E-09
107,1.57E-09,7.52E-10,2.69E-09
108,1.58E-09,7.50E-10,2.68E-09
109,1.57E-09,7.50E-10,2.69E-09
110,1.58E-09,7.47E-10,2.69E-09
111,1.57E-09,7.47E-10,2.68E-09
112,1.58E-09,7.51E-10,2.69E-09
113,1.58E-09,7.48E-10,2.68E-09
114,1.58E-09,7.48E-10,2.69E-09
115,1.57E-09,7.46E-10,2.68E-09
116,1.57E-09,7.47E-10,2.68E-09
117,1.57E-09,7.46E-10,2.67E-09
118,1.57E-09,7.46E-10,2.67E-09
119,1.58E-09,7.47E-10,2.66E-09
120,1.58E-09,7.45E-10,2.67E-09
121,1.56E-09,7.47E-10,2.66E-09
122,1.57E-09,7.42E-10,2.67E-09
123,1.57E-09,7.45E-10,2.66E-09
124,1.57E-09,7.44E-10,2.65E-09
125,1.55E-09,7.43E-10,2.66E-09
126,1.56E-09,7.43E-10,2.67E-09
127,1.56E-09,7.43E-10,2.66E-09
128,1.55E-09,7.44E-10,2.66E-09
,,,
